Gene	SampleNumber
TP53	100
EGFR	95
PTEN	93
PCDHGC5	45
NF1	40
PCDHAC2	38
PIK3CA	35
PIK3R1	34
RYR2	31
FLG	29
SPTA1	29
PCLO	27
RB1	27
AHNAK2	20
NBPF10	19
HMCN1	18
HSD17B7P2	17
USH2A	17
TCHH	17
ATRX	17
FRG1B	16
GPR98	16
LRP2	16
OBSCN	16
PKHD1	16
RYR3	16
IDH1	15
KEL	15
APOB	14
WASH3P	14
ABCC9	14
CNTNAP2	13
DNAH5	13
PDGFRA	13
DNAH2	12
DOCK5	12
FBN3	12
FRAS1	12
KRTAP4-11	12
SYNE1	12
COL1A2	12
NLRP5	12
HEATR7B2	12
STAG2	12
COL6A3	11
DNAH3	11
DNAH8	11
DSP	11
FCGBP	11
MLL2	11
POTEC	11
RPL13AP20	11
SDK1	11
GABRA6	11
SCN9A	11
SEMA3C	11
CDH18	11
DMD	10
FAT2	10
FLG2	10
GRIN2A	10
HCN1	10
HRNR	10
PCDH11X	10
SDHAP2	10
SEMG2	10
SLIT3	10
SPAG17	10
ZNF814	10
LZTR1	10
ABCB1	10
CHD9	9
DNAH11	9
DNAH9	9
DSG3	9
GRM3	9
LAMA1	9
MACF1	9
MLL3	9
MST1P9	9
MXRA5	9
PRDM9	9
RBM47	9
RELN	9
RIMS2	9
RPSA	9
THSD7B	9
DRD5	9
CXorf22	9
ADAM29	9
ADAMTS16	8
AHNAK	8
ANK2	8
CACNA1S	8
EPPK1	8
LRP1	8
LRP1B	8
MYH2	8
PEG3	8
PIK3C2G	8
PIK3CG	8
POM121L12	8
SACS	8
SLCO6A1	8
TAF1L	8
TRIM51	8
UBC	8
UGT2B10	8
WASH2P	8
DCAF12L2	8
TRPV6	8
CALCR	8
CDH9	8
RPL5	8
SEMA3E	8
TPTE2	8
ACACB	7
ADCY5	7
ANO2	7
BC101079	7
CACNA2D1	7
CALN1	7
CDC27	7
CFH	7
CHD5	7
CHD8	7
COL11A2	7
COL4A4	7
DOCK8	7
DUX4L3	7
EPHA10	7
F5	7
FAM123C	7
FBN2	7
FGD5	7
FRYL	7
GRIP1	7
HSPG2	7
HYDIN	7
KDR	7
KIF2B	7
LOC645752	7
LRFN5	7
MYH13	7
MYH8	7
MYO1B	7
NLRP12	7
OR5AR1	7
PKD1L2	7
PROKR2	7
SLC5A7	7
SLC9A4	7
SPTBN5	7
TRPM2	7
TSHZ2	7
UGT1A1	7
WBSCR17	7
XIRP2	7
ZDBF2	7
CARD6	7
MMP13	7
SULT1B1	7
ZNF99	7
DYNC1I1	7
SLC26A3	7
ABCB4	6
ADAMTS12	6
AFF2	6
BCL11A	6
C15orf2	6
C3orf67	6
CACNA1E	6
CD163L1	6
CD22	6
CHL1	6
CNTN6	6
CNTNAP5	6
COL14A1	6
COL24A1	6
COL6A2	6
COL6A5	6
CSMD3	6
DNAH7	6
DPP10	6
EP400	6
ESPNP	6
F8	6
FAM83H	6
GPR116	6
IGFN1	6
IL4R	6
ITGAX	6
KCNB2	6
KIAA1751	6
KPRP	6
KRTAP4-7	6
LAMA2	6
LAMA5	6
LAMC3	6
MAP3K1	6
MGAM	6
MYH1	6
NBEA	6
NLRP3	6
NUP210L	6
ODZ3	6
OR5D18	6
OR8K3	6
PAN3	6
PCDH11Y	6
PCDH19	6
PLCG1	6
PLEKHG4B	6
PPP1R3A	6
PRB2	6
PRIC285	6
PTPRT	6
RGNEF	6
RYR1	6
SAMD9	6
SCN10A	6
SCN5A	6
SCN7A	6
SERPINB3	6
SLC1A6	6
SLC27A2	6
SLCO5A1	6
SMC1A	6
SPEG	6
SSPO	6
ST6GAL2	6
TEX15	6
TG	6
TMPRSS15	6
TMPRSS6	6
TRRAP	6
TUBA3C	6
TUBBP5	6
UBE3C	6
VWF	6
ZFP42	6
ZNF28	6
AFM	6
BRAF	6
FRMD7	6
GABRB2	6
LRRC55	6
ZNF844	6
FGA	6
SIGLEC8	6
UGT2A3	6
GABRA1	6
IL18RAP	6
ABCA13	5
ACACA	5
ACE	5
ADAMTS2	5
ADAMTS7	5
AKAP9	5
ANK1	5
ATF7IP2	5
AZGP1	5
BCLAF1	5
BCOR	5
C1orf173	5
C3	5
C9orf131	5
CABIN1	5
CACNA1C	5
CARD11	5
CCDC60	5
CD209	5
CD33	5
CELSR3	5
CEP350	5
CHEK2	5
COL22A1	5
COL3A1	5
CPS1	5
CTAGE11P	5
CTTNBP2	5
CUBN	5
CXorf57	5
DCC	5
DCHS2	5
DDX11L11	5
DGKD	5
DICER1	5
DOCK2	5
DST	5
DYSF	5
EHD3	5
ELMO1	5
ELTD1	5
EPB41L3	5
FAM47C	5
FAM71B	5
FBLN2	5
FLNA	5
FLT1	5
FLT3	5
GCC2	5
GOLGA8DP	5
GON4L	5
GPR112	5
GRM8	5
HEATR5A	5
HERC2	5
ITGB2	5
JHDM1D	5
KIAA1210	5
KIF13A	5
KIF4B	5
KLF17	5
KRTAP4-9	5
KSR2	5
L1CAM	5
LAMB4	5
LILRB3	5
LTBP2	5
LYST	5
MAGEC2	5
MAN2B1	5
MAST4	5
MED12	5
MYO1A	5
MYO9B	5
NAV2	5
NDST4	5
NEB	5
NLRP4	5
NOS1	5
NOTCH2	5
NOX4	5
NRXN1	5
ODZ1	5
ODZ2	5
ODZ4	5
OR4D5	5
OR5D13	5
OR5W2	5
PCDHB5	5
PCDHB7	5
PGR	5
POTEE	5
POTEF	5
PRDM15	5
PREX1	5
PRKG2	5
PSG3	5
PSG8	5
PTPN11	5
PTPRD	5
PTPRF	5
RAG1	5
REN	5
RERE	5
RGPD5	5
RIMBP2	5
RLTPR	5
RNF17	5
ROS1	5
RP1	5
RPL13AP6	5
SAMD9L	5
SIM1	5
SLC22A9	5
SLC5A4	5
SLC6A10P	5
SMC3	5
SMCHD1	5
SPEN	5
SRCAP	5
STXBP5L	5
SVEP1	5
SYT16	5
TCF12	5
THOC2	5
TIAM2	5
TJP3	5
TLR6	5
TMEM132D	5
TP63	5
TPTE	5
TRAPPC8	5
TRHDE	5
TRIML1	5
TRPA1	5
TRPM3	5
TRPS1	5
UGT2B28	5
UMODL1	5
UNC79	5
VPS8	5
WDR63	5
WDR90	5
YSK4	5
ZAN	5
ZNF208	5
ZNF407	5
ZNF618	5
ANKRD36	5
FOXR2	5
LUM	5
QKI	5
RFX6	5
WNT2	5
ABCA4	4
ABCC4	4
ABCD2	4
ABLIM3	4
ABP1	4
ACADS	4
ACAN	4
ACRC	4
ACSM2B	4
ACSM4	4
ADAM22	4
ADAM30	4
ADAMTS10	4
ADAMTS18	4
ADAMTS19	4
ADCY1	4
ADCY9	4
AGAP3	4
AICDA	4
AK7	4
ALB	4
ALLC	4
ALPPL2	4
ANGPT4	4
